eXoID	Folder	Zipfile	ZipSize	Game	Year	Developer	Publisher	Genre	Description	Series	Region	Rating	PlayMode	Manual	Favorite	xmlID
1096w	SimC23x	SimCity 2000 - CD Collection (1993).zip	162471475	SimCity 2000: CD Collection	1996	Maxis Software Inc.	Maxis Software Inc.	Construction and Management Simulation	Develop and build your own city! This collection includes SimCity 2000, SimCity 2000 Scenarios Volume 1: Great Disasters, SimCity 2000 Bonus Cities and Scenarios, and the Urban Renewal Kit which allows you to build your own cities free of charge and them import them into the game!	Genre: Simulation - City building; Maxis Sim series; SimCity series		E - Everyone	Single Player	SimCity 2000 - CD Collection (1993).pdf	true	8a9d528f-9104-fb21-0c3d-3db1349fa5fe	
1216w	TotalDis	Total Distortion (1995).zip	549190367	Total Distortion	1995	Pop Rocket, Inc.	Pop Rocket, Inc.	Adventure	This game is an expansive adventure, music video generator, and business sim all-in-one.  The storyline goes as follows: You've spent every last penny of your money buying an expensive music video production tower and having it blasted off into another dimension.  In order to complete the game you must earn enough money (minimum of $1 million) to blast your tower back home. To earn money you must make music videos. Dozens of songs and video clips are provided for you, and you must construct a "bonzai" video that one of three music TV producers would like and strike deals with them.  But sometimes the clips and songs given don't cut it, and you must venture out into the world and film different clips yourself.  Every once in a while you must have a duel to the death with a guitar monster. You also must recruit singers for your videos to improve your song quality, singers such as Johnny Fang and Edgar Death.  All in all its a very large game with weeks of playing time.			E - Everyone	Single Player		false	76b792cf-2077-6e8c-ce35-35260b281dbe	
902w	MichaelN	Michael Ninn's Latex - The Game (1996).zip	1149739183	Michael Ninn's Latex: The Game	1996	VCA Interactive	VCA Interactive	Adult;Adventure	Michael Ninn's Latex: The Game is a point-and-click adult adventure, based on the full x-rated video Latex. The player travels through Alphaville, a dark and futuristic city. The story unfolds as the player views video kiosks and gains entrance to secret corridors and rooms where more about the inner thoughts and experiences of Malcolm Stevens can be learned, a psychotic who has the ability to read people's minds and sexual fantasies.			A - Adult	Single Player		false	77c5fd25-b79b-20d1-6927-27d83ae2e0b8	
925w	MPJungle	Moving Puzzle - Jungle World (1998).zip	314491486	Moving Puzzle: Jungle World	1998	Haemimont Games AD	Ravensburger Interactive Media GmbH	Puzzle	Did you ever puzzle a video? Just imagine a video that has been cut into little square pieces. The individual squares have been scrambled, rotated or even mirrored. How quickly can you put the video clip back together? Test your puzzle skills. If you succeed in solving the 12 clips on one level you're ready to tackle the 13th tricky video-puzzle!	Genre: Jigsaw puzzle; Moving Puzzle series			Single Player	Moving Puzzle - Jungle World (1998).pdf	false	924b4a49-25eb-783e-dd56-565ad05f06c5	
754w	Harryand	Harry and the Haunted House (1994).zip	396127663	Harry and the Haunted House	1994	Living Books	Brøderbund Software, Inc.	Education;Visual Novel	This is an "electronic book", a game designed for kids which consists of a linearly-told story through still screens filled with hot-spots where kids can click and get animations, sounds, etc.In this game, Harry and his friends Stinky, Earl, and Amy are playing baseball when Harry hits one into the window of an old abandoned house. So the team embarks on a rescue mission to get the ball back from the seemingly haunted house.The graphics in the game are all colorful cartoon drawings and the game has numerous sound options that include full narration or the specific pronunciation of any word the player clicks on.	Educational: Reading; Living Books series		E - Everyone	Single Player		true	e8b8a0c2-3744-186d-ea9d-9d1249e054ec	
1219w	Trac2Win	Tracon for Windows (1993).zip	28670932	Tracon for Windows	1993	Wesson International	Wesson International	Construction and Management Simulation;Flight Simulator	Tracon is an air traffic control simulator, giving you the position of a so called "ATC" (air traffic controller). You are in charge of the air traffic in a certain sector, making sure that every airplane gets to his destination safely. Your main screen is a radar, which features the aircrafts as green dots or little airplanes, moving at a certain speed at a certain height.The more traffic is in the air, the more hectic your job becomes. You have to set routes for the planes and organize punctual arrivals. The game is also featuring emergencies, to make your task more difficult. Tracon was used to train professional ATCs in the early nineties. Then Wesson decided to develop special simulation units for professional users and continue the Tracon series as entertainment.	Air traffic control games; Tracon series			Single Player		false	868b2219-fab0-9c6c-c286-865c8ead7fee	
2466w	Asstroid	AssTroids (1999).zip	571507000	AssTroids	1999	VCA Interactive	VCA Interactive	Action;Shooter;Adult				A - Adult	Single Player		false	574aa9a0-6ce5-4996-8af5-a2a23267b2fc	
1341w	vchess	Virtual Chess (1995).zip	66135101	Virtual Chess	1995	Titus France SA	Titus France SA	Board / Party Game;Strategy	Virtual Chess is a feature-rich computer chess simulation that especially prides itself on a 3D, rotating chess board and pieces, complete with limited lighting techniques. By default, the game shows you a flat 2D board with a 3D game board next to it. The 3D board can be dragged and rotated to any angle you please. Virtual Chess also features some full motion video in the for of an introduction and some cut scenes.	Board game translations; Genre: Board game - Chess;		Not Rated	Multiplayer		false	a8d3ce3d-f2ca-87d9-6592-928f05bb3c43	
461w	bchscd3x	Battle Chess Enhanced (1991).zip	531284207	Battle Chess: Enhanced CD-ROM	1991	Interplay Productions, Inc.	Interplay Productions, Inc.	Strategy	This version of Battle Chess, while retaining the gameplay of the original release, features improved 256-color VGA graphics as well as new visual effects and animations. In addition, it has a symphonic soundtrack in redbook (CD audio) format.	Battle Chess series; Board Game translations	North America	E - Everyone	Multiplayer; Single Player		true	4e82a298-2876-1da1-ab41-41f3cb0e8677	
1077w	SecPyra	Secrets of the Pyramids (1994).zip	397569042	Secrets of the Pyramids	1994	Ednovation, Inc.	Mindscape, Inc.	Adventure;Detective / Mystery;Education	Secrets of the Pyramids is an edutainment title that includes 3 modes: a movie, discovery and game mode. The Movie mode presents a dramatic reconstruction of a series of events that could have taken place in Ancient Egypt. The Discovery mode describes Ancient Egypt culture, religion and history. In the Game mode you will follow Harold Peabody - dreamer, adventurer and optimist - on his quest for the hidden tomb of the mythical Pharaoh Ankh-Re. After finding a way to open the door to the pyramid, the player has to explore the pyramid, find useful items and overcome various obstacles. Stepping on the wrong tile or opening a wrong door may result in the untimely death of the hero. To avoid traps and decipher clues the player has to consult an "English-Hieroglyphics translator" found early in the game. Secrets of the Pyramids is a short, inventory-based adventure game with a simple interface (with a "look" and "use" icon). The player can only save one game at a time (by pressing the S-key). The game comes with a soundtrack and some sound effects; comments are shown in message windows that pop-up (no voices).			Not Rated	Single Player		false	8a29c89e-a506-e4d5-548d-8dc10fbe9ebc	
694w	Fieldsof	Fields of Battle (1995).zip	20870987	Fields of Battle	1995	BevelStone Production	BevelStone Production	Strategy	In this tactical game the player controls either a state from the Central Powers or the Entente and their African colonies and tries to win World War I.[13][10][13][10]The game is played on a tactical map showing Europe. This map is divided into provinces, e.g. Berlin or Normandy. The player can use several display modes in which the map shows attributes of the provinces, e.g. terrain or economic power. The movements of soldiers are ease to perform, they have to be dragged to their destination with the mouse. The combat is calculated by the computer after each turn.[13][10][13][10]The game has a detailed online help which explains gameplay mechanics and offers historical background information. In the shareware version is one scenario included which starts in 1914. After paying the registration fee the player gets access to additional scenarios and more units.	Historical conflict: World War I		Not Rated	Multiplayer		false	314a2e74-c589-4074-adfa-fa64252cbfab	
2534w	FZone	F!Zone (1996).zip	563891953	F!Zone for Fury3	1996	WizardWorks Software	WizardWorks Software	Action;Shooter	An add on to Fury³ for Windows, this adds additional levels to the game. Graphics and gameplay are identical in style to the original game, though new enemies have been added. In addition to the extra levels, a fairly advanced level editor is included for manipulating textures and creating your own levels.	Theme: Sci-Fi		Not Rated	Single Player		false	727dfdc0-3205-4bda-829c-69819d529172	
519w	JewelsII	Jewels II - The Ultimate Challenge (1998).zip	1431194909	Jewels II: The Ultimate Challenge	1998	Bardworks	Hoffman and Associates	Puzzle	Jewels 2 is a puzzle game set in an archeological dig were a pre-sumerian culture left a great treasure. To unlock the treasure you must uncover 24 rune tokens from several places in the dig by solving for each one a logic/pattern recognition puzzle of varying difficulty. The main game screen consists of a map from where you can go directly to each puzzle as well as other interesting sites. There's an in-game journal that offers hints for most puzzles and if you are really stuck you can also consult with the digitally-captured professor Bhandam (the guy in charge of the dig) for hints. The game also offers two difficulty settings for each puzzle.	Jewels of the Oracle series		E - Everyone	Single Player		false	8c6058ee-ed0e-58e3-08af-afb966f50415	
861w	TheMagic	Magic Death, The - Virtual Murder 2 (1993).zip	341986942	The Magic Death: Virtual Murder 2	1993	Creative Multimedia Corporation	Creative Multimedia Corporation	Adventure;Detective / Mystery	An anthropologist is found dead in her apartment as a sacrifice in a voodoo ritual.The Magic Death is the second entry in the Virtual Murder series of FMV murder mystery games. As in the previous title, the player has to solve the crime within a time limit of 5 hours. Time decreases when an action is performed (examining an object at the crime scene, watching a suspect's interview), the exception being a brief case summation that can be accessed and played without any penalty.After gathering enough evidence (stored automatically in the notebook area), the player can call a press conference and answer questions about the case. If this questionnaire is filled correctly, the game moves to its second level, where the player must present the case to the judge.	Virtual Murder series		Not Rated	Single Player		false	47c563e3-bc3d-e172-28ad-adbf8a48b671	
1291w	YellowBr	Yellow Brick Road (1996).zip	379291347	Yellow Brick Road	1996	Synergy Inc.	Synergy Interactive Corp.	Adventure;Strategy	Inspired by the Oz Books by L. Frank Baum, Yellow Brick Road concerns the player's attempt to thwart an invasion of the Emerald City by the Gnome King. Along the way s/he teams up with the tin man, lion, and eventually the scarecrow. Besides these, other recognizable figures from the books include Jack Pumpkinhead, the little Wizard of Oz, and Glinda, who, in the game, is queen of Oz. The game's structure is reminiscent of first-person adventures: the player interacts with the environment and manipulates inventory items to proceed. The puzzles, however, are kept to a minimum, since combat occupies a significant portion of the game, effectively turning it into a hybrid of adventure and small-scale real-time strategy.Battles usually occur as dictated by the plot. The player does not fight directly, but instead acts as a general to his/her companions. Each character has a quick but weak base attack or can use one of the items found throughout the game. Many of the items act differently depending on who uses them. For instance, the flute calls field mice into battle for the Tin Woodman, while it calls crows into battle for the Scarecrow.  The more powerful the item, the longer the downtime for the character who has used it before he can fight again. The enemies progress toward the companions' side of the battlefield at a constant pace.  If they reach them, the battle is lost, and the player must try again.  If instead the player manages to push them back off the far side of the field, the battle is won and the game progresses. Different enemies are more greatly affected by different weapon/character combinations, and immune against some.	Theme: Fantasy		Not Rated	Single Player		false	32b33c64-2c2e-20de-7f44-44d38373ef14	
1147w	SPQR-The	SPQR - The Empire's Darkest Hour (1997).zip	429074171	SPQR: The Empire's Darkest Hour	1996	CyberSites	GT Interactive	Adventure;Detective / Mystery	SPQR is a point-and-click Myst-style game set in Ancient Rome.  Journal entries, newspaper articles, and various puzzles must be dealt with as the player unravels a conspiracy which threatens the Empire.	Educational: History		E - Everyone	Single Player	SPQR - The Empire's Darkest Hour (1997).pdf	false	48b57828-919e-57d4-2cc2-c24e387e81be	
206w	Gulliver	Gulliver's Voyage To Lilliput (1996).zip	139746366	Gulliver's Voyage To Lilliput	1996	NTK Entertainment Technology	Memorex Software	Adventure;Education;Visual Novel	Improve your child's reading and vocabulary skills with Memorex Classic Tales, designed by child development experts. Journey back to a story that is an edited version of the great English writer Jonanthan Swift's novel. Carry on the tradition of the highly valued original tales passed from generation to generation. It features illustrations reminiscent of the beautifully illustrated children's books of the late 19th century. Highlighted text defines difficult words. It has animation and sound effects and a musical score derived from compostions contemporary with Jonathan Swift's lifetime.	Educational: Reading		E - Everyone	Single Player		false	a672dd1e-f4d8-697e-13e9-e9fba06508f2	
887w	McKenzie	McKenzie and Co. (1995).zip	2979346461	McKenzie & Co.	1995	Her Interactive, Inc.	American Laser Games, Inc.	Adventure;Interactive Movie	This adventure game, the first ever released by Her Interactive, lets you take on the life of a teenage co-ed in her junior year at Madison High. In this role, you'll do everything a girl of this age does in her daily life at home, school and work --  from deciding what to wear each day to going to work after school. Talk with friends in person and on the phone, attend classes, study, do homework, shop for clothes at the mall and go out on dates.You choose one of two characters to play.  Besides your 6 closest friends, there are 20 other characters to meet during the course of the game - including prospective boyfriends. The scenarios are presented by way of video clips. Conversations come about by selecting one of several provided replies.There are various types of mini-games to solve within the game including variations of Concentration and Tetris as well as a shooting accuracy game and a picture puzzle.The game comes on 6 CD-Roms: 1 for the main game, 4 for the main boyfriends and a bonus music CD.  A optional complete internet access package is included on the discs.  The PC version box also contains some makeup and tips on how to apply it, and a pink ribbon promoting Breast Cancer Awareness.			E - Everyone	Single Player	McKenzie and Co. (1995).pdf	false	59b2ff99-4089-ea7b-a571-71ff3e0c6335	
1158w	STGameS	Star Trek - The Game Show (1998).zip	416537366	Star Trek: The Game Show	1998	Sound Source Interactive, Inc.	Sound Source Interactive, Inc.	Game Show;Quiz	Star Trek enthusiasts have a reputation for knowing every minor detail about the lineage. Here's the chance to prove it. Star Trek: The Game Show is an interactive quiz show hosted by recurring character Q (played by John de Lancie). Questions feature the first four TV series and the first eight movies, including aspects such as characters, places, and strange encounters. Audio and video clips are incorporated to bring these to life.	Star Trek universe		E - Everyone	Multiplayer; Single Player		false	41407690-9243-a488-9667-67e130b48fe8	
1133w	SophiesW	Sophie's World (1997).zip	479707952	Sophie's World	1997	The MultiMedia Corporation plc	The Voyager Company	Adventure;Education	Sophie's World is an adaptation of the book of the same name by Jostein Gaarder. As in the book, you explore philosophy through the ages from the point of view of 14 year old Sophie. Rather like the book, it's half a game, and half an educational title.			Not Rated	Single Player		false	9e9f28f1-d282-7f91-ed16-166ece8a606c	
935w	MuppetTr	Muppet Treasure Island (1996).zip	1125498560	Muppet Treasure Island	1996	Activision, Inc.	Activision, Inc.	Adventure	A children's adventure game that is fun for all ages. The game is based on the Muppet Treasure Island movie. The game is divided into 4 parts. In each part there are a number of tasks to complete which are fairly simple. There are 2 hours of full-screen video featuring live-action characters - Tim Curry and Billy Conolly from the movie.	Muppets games		E - Everyone	Single Player	Muppet Treasure Island (1996).pdf	true	93fb6be2-485e-3e85-d78c-8c52b2ed78a9	
1345w	Crib3x	Cribbage (1991).zip	19254336	Cribbage	1991	Walter Warniaha	Freeware	Casino;Strategy	The object of the game is to be the first player to reach 121 points. The current point totals are shown in two different ways. The values are shown in the ""Computer's Score"" and ""Player's Score"" score box. These same values are also represented as pegged values on the cribbage board. The computer's pegs are yellow and the player's pegs are blue. The pegs always go up the outside and down the inside. If the winner reaches 121 before the opponent gets 91, this is called a skunk and is considered as two games won (and double the money). If the opponent doesn't reach 61 this is considered a Double Skunk and is quadruple(four times the money). The players obtain points by forming various counting combinations as pairs, triplets, fours, sequences and fifteens. Combinations can be formed when playing the cards, or when counting the hands and crib in conjunction with the starter card.	Genre: Card / Tile game - Cribbage		Not Rated	Single Player		false	2c7cd84a-2c36-5264-91b5-b5818e36220c	
1277w	Wings-Sa	Wings - Saigon to Persian Gulf (1998).zip	663731708	Wings: Saigon to Persian Gulf	1998	Maris Multimedia Ltd.	Maris Multimedia Ltd.	Vehicle Simulation	Wings: Saigon To Persian Gulf is a multimedia encyclopedia of fighter aircraft. It contains descriptions, photographs, and short movie sequences. It also contains three flight simulator missions in which the player can fly as either;  A Soviet Su-27 'Flanker' on an anti-drone training mission  An Israeli A-4 Skyhawk on an anti SAM mission  A USAF A-10 Thunderbolt II on a tank busting mission All missions are keyboard controlled and are played in either 320 x 200 or 640 x 480 resolution.			Not Rated	Single Player		false	f5961b99-530d-2b28-dfa5-a55f0cb43bdc	
163w	WFVW3x	Wheel Of Fortune Featuring Vanna White (1992).zip	28679672	Wheel Of Fortune Featuring Vanna White	1992	GameTek, Inc.	GameTek, Inc.	Game Show;Strategy	The all-new edition of Wheel of Fortune features Vanna White, the most popular game-show hostess ever and includes over 2,000 all-new questions. New and enhanced graphics along with improved game play bring you the most exciting version ever of America's favorite game show. Play against the computer, or against up to three friends. Spin the Wheel, buy a vowel, or attempt to solve the puzzle, only Vanna knows what lies behind the tiles. Watching your favorite game show is fun, but with Gametek's Wheel of Fortune, you don't just watch it, you live it!	Wheel of Fortune licensees			Multiplayer; Single Player		false	7eeac581-7301-9874-8028-28ec6938f0f1	
1951w	DrTSing	Dr. T's Sing-A-Long Kid's Classics (1993).zip	252487260	Dr. T's Sing-A-Long Kid's Classics	1993	Dr. T's Music Software Inc.	Aztech New Media Corp.	Education	Sing along as cartoon characters perform to classic children's tunes. "Doc" is your guide to the exciting and educational world of music, complete with scrolling sheet music and lyrics.	Educational: Music; Better Homes and Gardens series		E - Everyone	Single Player		false	336595c8-3d02-4157-943a-fe4f05cc123f	
1111w	SimTown	SimTown (1995).zip	325334786	SimTown	1995	Maxis Software Inc.	Maxis Software Inc.	Construction and Management Simulation;Simulation	SimTown is one of several entries in the city-building simulation series, SimCity. As in prior installments, players are tasked as the mayor of a newly formed municipality, taking charge of it's expansion and success. Being aimed at a younger audience than that of the other games within the series a greater emphasis is placed on managing a small, socially ideal town than a sprawling metropolis. As such it features a much more stylized, cartoon representation and user interface, a number of added features allowing for greater interactivity with the populace, and a simplified system of resource management.As their first priority as mayor players will simply need to construct a town, supplying not only housing for their residents but employment, schools, and civic buildings as well; Roadways and bike paths being needed to connect them all. While each building has its own associated costs and benefits they're often marginal enough that a player's selection will often be as much an aesthetic consideration as a functional one. In order to finance all of this consideration will also have to be paid to the player's limited resources of water, wood, and crops, which rejuvenate only so quickly.Interacting with the populace will also be crucial to success. Individual citizens will often offer suggestions and make demands of the mayor and so a close eye will have to be kept on their opinions of how the city is being run. Those that favor specific types of restaurants will request them and objections will be made if the city is lacking in their preferred form of recreation. Players can also take a closer look at their residents by 'removing' the tops of buildings and peering inside, watching their life unfold on a more minute scale. Specially constructed designer characters can also be made to populate the town, built to pre-defined specifications such as their preferred clothing and personal preferences.A number of awards can be gained within the game for exemplary achievements resulting from maintaining a balanced town for some period of time. An in-game newspaper will assist in these efforts by helping to keep the player up to date on what might be wrong in their city, or how they might be succeeding.	Maxis Sim series; SimCity series		E - Everyone	Single Player		false	aea921d7-0a7d-3354-3aca-caf9936a6495	
1180w	Symantec	Symantec Game Pack (1991).zip	26181468	Symantec Game Pack	1991	Symantec Corporation	Symantec Corporation	Action;Cards / Tiles;Puzzle;Strategy	A compilation of the following classic games:[13][10][13][10]Jacks: Click on the ball to toss it in the air, then click on the right number of jacks to grab them.[13][10]Hangman: Guess the letters in the word. Try not to make too many mistakes[13][10]Smart Dots: You and the computer take turns drawing a line between dots on a piece of paper. If you complete a square, fill it in; once the paper is filled, the player with the most squares wins.[13][10]Memory Blocks: A grid of tiles, turned face-down. Select the matching tiles.[13][10]Pick Up Sticks: Click on the sticks on top to pick them up. Try to pick up all of them in the least amount of time.[13][10]Code Breaker: Guess the secret code. Hints after every guess show the number of correct symbols.[13][10]Most games tend towards a "realistic" appearance. For example, Jacks shows walls in the back, and the Smart Dots field looks like real graph paper.	Concentration / Memory variants		Not Rated	Multiplayer; Single Player		false	9ee3ec1f-8567-21bf-6402-02ff035d5cbf	
1226w	TPIMG	Trivial Pursuit Interactive Multimedia Game (1994).zip	429591655	Trivial Pursuit Interactive Multimedia Game	1994	Western Technologies Inc.	Parker Brothers	Board / Party Game	This is the first multimedia version of the classic Parker Brothers board game.  It uses photos, animations, videos & voice clips to pose over 2000 questions and answers to Trivial Pursuit questions.In the Classic Game, up to 6 players roll an on-screen die and move their 'pie-dish' marker around the spoke-and-wheel game board, just like the board game.  The square you land on is color coded to one of six trivia categories:  People & Places, Sports & Leisure, History, Arts & Entertainment, Science & Nature, and Wild Card.  Answering the trivia question correctly lets you take another turn.Further, if you are on the 'prize' square at the end of each spoke (1 spoke end for each category color), the correct answer grants you a colored pie piece in your pie-dish marker for that category.  Once you have all 6 pie pieces in your dish, you need to head back to the hub for a final random question to win the game.In the Fast Game, up to 6 players can forgo the die-rolling and board movement.  It's a race to answer correctly a question from each category first!  Categories are randomly selected in this mode.	Board game translations; Trivial Pursuit licensees			Multiplayer; Single Player		false	9aae9e72-2265-b52b-826e-6e3ee1c30090	
1093w	Civ3x	Sid Meier's Civilization (1993).zip	93991688	Sid Meier's Civilization	1993	MPS Labs	MicroProse Software, Inc.	Construction and Management Simulation;Strategy	Civilization has the widest scope of any strategy game of its time. You are a leader of a nation. You begin in the Stone Age, and complete the game in the XXIth century (unless your civilization gets destroyed earlier). Your eventual goal is to become the dominant civilization in the world, either by wiping out everybody else, or being the first to get a space ship to Alpha Centauri.As the nation's leader, you have many responsibilities. You have to build cities, and then micromanage them, constructing various buildings. Most of people in your cities will be working on the neighbouring lands to get food (without it, your city won't survive or grow), production (used to build military units and buildings) and trade (which can be exchanged for money, science (see below) or luxuries that make people happy. You decide how much trade you want to invest into each of these areas.) You have to make sure that your people are in a good mood; if they get too unhappy, the city will collapse into disorder, and won't produce anything until you fix the situation. If you're ambitious, you can build Wonders of the World - epic constructions, such as the Pyramids or the Hoover Dam. Each Wonder is an unique thing, and only one of each can exist in the world. They give you a lot of benefits if you complete them, but they take a long time to build, and many of them will eventually stop working. There are other nations in the world, and there are also barbarians, so you'll have to invest into the military to protect yourself and to attack. Sure, you can sign peace treaties with other nations, and even exchange scientific knowledge with them (although sometimes they'll demand tribute from you), but eventually you'll probably have to fight. You control each of your military units on the world map, attacking your opponents' units and cities (possibly taking over them). Not all units are for combat though. Settlers are used to build cities, create roads (for easier travel of your units) and improve the land around cities, increasing production. Diplomats can be sent to foreign cities to negotiate with the other nations or create embassies, but they can also bribe enemy units to join you and conduct espionage and sabotage in the enemies' cities. Caravans can be sent to faraway cities to increase trade in their home city, and they can also help in building Wonders of the World. Scientific progress is an important part of the game. The more science your cities produce, the faster you research new technologies. Initially, you'll be finding out about the wonders of Alphabet or Bronze Working, but late in the game you'll be researching Computers and Robotics. Most technologies give you some new units, buildings and other things, although some have more interesting effects - for example, after inventing the Automobile, you'll find out that your citizens started producing pollution. Pollution is a bad thing; if there's too much of it, global warming may occur. How your cities prosper depends partially on the type of government that your nation has. Initially you're living in Despotism, but this can stunt growth of your civilization, so it's a good idea to switch to something else - Monarchy, Republic, Democracy or Communism.	Genre: 4x; Civilization series; Sid Meier's licensees			Single Player	Sid Meier's Civilization (1993).pdf	true	d3960f35-0353-ba5c-4578-78b3a2798718	
1014w	PuttRace	Putt-Putt Enters the Race (1998).zip	699291077	Putt-Putt Enters the Race	1998	Humongous Entertainment, Inc.	Humongous Entertainment, Inc.	Adventure;Education	That lovable little car, Putt-Putt and his dog Pep must gather various items including fuel and a flag before they can enter the Cartown 500.  There are plenty of old friends as well as some fun new characters to give Putt-Putt a helping hand.	Junior Adventure games; Putt-Putt series		E - Everyone	Single Player		true	512f4675-8af6-be80-f4ce-ceea388d8a52	
24w	simtune	SimTunes (1996).zip	124498390	SimTunes	1996	Maxis Software Inc.	Maxis Software Inc.	Creativity;Simulation	SimTunes is based on "Music Insects", an interactive audio-visual exhibit which was designed and created by Toshio Iwai in 1992. Iwai's original, Music Insects is a very popular permanent exhibit at the Exploratorium in San Francisco.[13][10][13][10]SimTunes is an interactive 'painting/music/simulation' game. The user paints colored squares on a virtual grid, where each color maps to a tone in a musical scale. Then the user unleashes four little 'bugz' to roam around on the painted grid. Each bugz has an instrument or vocal style associated with it, and when it walks over one of the squares of light it 'plays' its sound at that tone. The user can control the scale, the instruments, and the speed and direction of the bugz, creating an interactive musical experience.	Educational: Music; Maxis Sim series			Single Player		false	937fde86-0b98-1f5d-5dce-cedb00349fca	
796w	Jones3x	Jones in the Fast Lane CD-ROM (1992).zip	354921310	Jones in the Fast Lane: CD-ROM	1992	Sierra On-Line, Inc.	Sierra On-Line, Inc.	Board / Party Game;Life Simulation;Strategy	Functionally identical to the original Jones in the Fast Lane, but delivered on a CDROM and containing the following enhancements:DOS version:  Redbook CD Audio for the voice acting; additional animation and actor portraits; takes very little space on hard drive.Windows 3.1 version:  All the features of the DOS version, with the addition of a native Windows executable and MIDI music.			Not Rated	Multiplayer; Single Player	Jones in the Fast Lane CD-ROM (1992).pdf	false	bf9c5deb-af06-1f2b-24f2-f265453531f6	
5w	ambSEI	Secret of Easter Island, The (1996).zip	16639684	The Secret of Easter Island	1996	Ambrosine	Freeware	Adventure	Save the people of Easter Island by returning a sacred stolen statue to the volcano god’s altar before the volcano erupts.				Single Player		false	f3455e30-f4f7-a4eb-71b8-b8f3860f5879	
1953w	EarthQue	Eyewitness Virtual Reality Earth Quest (1997).zip	533063559	Eyewitness Virtual Reality: Earth Quest	1997	DK Multimedia	DK Multimedia	Education	Earth Quest teaches you about earth science, like how minerals are formed and what the tectonic plates are, and the museum is built inside a giant cavern. It feels like you’ve stumbled into an excavation site. The doorways are carved out of stone, and the exhibits about gemstones and ores are built into the rock walls. As you walk around, you can hear water dripping. Where an actual museum might have a famous sculpture or a dinosaur skeleton in the center of the room, this museum has the earth’s core, shrunken-down, sitting on a pedestal and lighting up its surroundings.[13][10][13][10]Owing to their art experience, all of Dorling Kindersley’s CD-ROMs look terrific, but Earth Quest is especially spectacular. The museum is monumental. Even though it has a small footprint, it thinks in terms of hulking earthworks and geography. There are a few side exhibits, like a Violent Earth pavilion about earthquakes and volcanoes, and they’re presented on the edge of cliffs overlooking giant expanses of the earth. The balcony of the Shaping the Earth exhibit overlooks a view that moves between mountains, deserts, valleys, and islands to illustrate land formation. This is a museum so enormous and grandiose that the planet itself is on display.	Educational: Science; Eyewitness Virtual Reality series			Single Player		false	c9bf3650-5166-45d9-a2ae-6d85d7a49e62	
1273w	WinAdv	WinAdv (1992).zip	26163669	WinAdv	1992	Wolfgang Strobl	Freeware	Adventure;Interactive Fiction	Crowther and Woods' trailblazing treasure-hunting cave-exploring text adventure game ADVENTURE is here presented in a new form.  Compiled from early FORTRAN and C sources, this port makes use of its early GUI by presenting a text output window, through which the game communicates to the player, as well as a player input window with buttons to streamline common commands (typically directional in nature) and a text entry box for more esoteric words (such as, for instance, "xyzzy".)  The story and plot, such as it is (grab the treasures, try not to die) is much the same as other ports from its primeval source.  This version, as do many, offers 350 points to be amassed through player action and treasure collection.	Theme: Fantasy			Single Player		false	b14217eb-71db-3508-ace8-e868ec56308f	
456w	BarbieFa	Barbie Fashion Designer (1996).zip	322159119	Barbie Fashion Designer	1996	Digital Domain Inc.	Mattel Media	Creativity;Education	With this game you can actually create totally new outfits for your Barbie doll using a software to edit the clothes and then printing them to actual fabric, suplied along with the game.Edit clothes for different occasions (wedding, casual, party, date, work and beach), and then choose accessories, patterns, colors, and much more.Once you're done you can watch your clothes being shown at the catwalk by Barbie models, or print photos of your creations.	Barbie licensees		Not Rated	Single Player		false	eae93e9b-df99-4af1-3411-114d686b4afe	
532w	FrekShow	Residents, The - Freak Show (1994).zip	554236593	The Residents: Freak Show	1994	The Voyager Company	The Voyager Company	Adventure	Freak Show is the first foray into interactive software from the underground San Francisco band The Residents.It's a bit adventure, yet without a linear plot and puzzles. It's best described as a multimedia experience, a digital art showcase, or a virtual visit to, well, a freak show. Characters to meet include Tex the Barker, Herman the Human Mole, Harry the Head, Wanda the Worm Woman, Jelly Jack, Benny the Bump.The game featured some of the best 3D renderings for a computer program, at the time, and everything was rendered and animated by world-famous computer animator Jim Ludtke.	The Residents series; Theme: Horror		Not Rated	Single Player		false	17aad238-9bec-dab8-9c3d-3d0acb1632bc	
25w	oddballz	Oddballz (1996).zip	136475683	Oddballz: Your Wacky Computer Petz	1996	PF Magic	Virgin Interactive Entertainment, Inc.	Life Simulation	Oddballz is a spin-off from the Catz and Dogz series, from P.F. Magic.[13][10][13][10]This time, as the title states, the pets are wacky creatures, more alien-like than animal. Now they can make their eyes come out of their sockets and literally scare them to pieces, while retaining a comic look and feel (something impossible while dealing with Dogz or Catz).[13][10][13][10]The mechanics are pretty much the same in every game of the series, and here the player also gets to pet them, teach them tricks, punish them or just play around. The Oddballz will respond to each and every move and they can even morph into to something else, depending on what the player does.[13][10][13][10]The tools the player can use are also very different from the ones in Dogz and Catz, and also have a wacky feel to them. There are tools like the Robo Pogo, the Gravitron, Seismo Ball, Transformer, Atomic Ball, and the delicious Liqui-Food, for feeding the pets.[13][10][13][10]The company also made additional Oddballz available for download from their site, to add to the starting lot of seven.	Petz series		Not Rated	Single Player		false	fa3037f2-a4b8-642b-6f11-119030870ff6	
